Bankleitzahl,BIC
13070000,DEUTDEBR133
13070000,DEUTDEBB130
13070000,DEUTDEBB131
13070000,DEUTDEBR134
13070000,
13070000,DEUTDEBR135
13070000,DEUTDEBB141
13070000,DEUTDEBB142
13070000,DEUTDEBB143
13070000,DEUTDEBB144
13070000,DEUTDEBB152
13070000,DEUTDEBB150
13070000,DEUTDEBB153
13070000,DEUTDEBB154
13070000,DEUTDEBR136
13070000,DEUTDEBB140
13070000,DEUTDEBR138
13070000,DEUTDEBB155
13070000,DEUTDEBB156
13070000,DEUTDEBB179
13070000,DEUTDEBB148
13070000,DEUTDEBB149
13070000,DEUTDEBB159
13070000,DEUTDEBB132
13070000,DEUTDEBB145
13070000,DEUTDEBB146
13070000,DEUTDEBB147
13070000,
13070000,DEUTDEBR137
13070000,DEUTDEBB158
13070000,DEUTDEBB157
13070000,DEUTDEBR132
13070024,DEUTDEDBROS
13070024,DEUTDEDB151
13070024,DEUTDEDB131
13070024,
13070024,DEUTDEDB133
13070024,DEUTDEDB130
13070024,DEUTDEDB128
13070024,DEUTDEDB132
13070024,DEUTDEDB134
13070024,
13070024,DEUTDEDB135
13070024,DEUTDEDB141
13070024,DEUTDEDB142
13070024,DEUTDEDB143
13070024,DEUTDEDB144
13070024,DEUTDEDB152
13070024,DEUTDEDB150
13070024,DEUTDEDB153
13070024,DEUTDEDB145
13070024,DEUTDEDB146
13070024,DEUTDEDB147
13070024,DEUTDEDB154
13070024,
13070024,DEUTDEDB136
13070024,DEUTDEDB137
13070024,DEUTDEDB140
13070024,DEUTDEDB138
13070024,DEUTDEDB155
13070024,DEUTDEDB156
13070024,DEUTDEDB179
13070024,DEUTDEDB157
13070024,DEUTDEDB158
13070024,DEUTDEDB148
13070024,DEUTDEDB149
13070024,DEUTDEDB159
13080000,DRESDEFF130
13090000,GENODEF1HR1
13090000,
13091054,GENODEF1HST
13091054,
13091084,GENODEF1HWV
14000000,MARKDEF1140
14040000,COBADEFF140
14040000,
14051000,NOLADE21WIS
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051000,
14051362,NOLADE21PCH
14051362,
14051462,NOLADE21SNS
14052000,NOLADE21LWL
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14052000,
14061308,GENODEF1GUE
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061308,
14061438,GENODEF1GDB
14080000,DRESDEFF140
14080000,
14080000,
14080011,DRESDEFFI27
14091464,GENODEF1SN1
14091464,
14091464,
14091464,
15000000,MARKDEF1150
15040068,COBADEFF151
15040068,COBADEFF150
15040068,COBADEFF152
15040068,COBADEFF153
15040068,
15040068,
15050100,NOLADE21WRN
15050100,
15050200,NOLADE21NBS
15050200,
15050200,
15050200,
15050200,
15050200,
15050200,
15050200,
15050200,
15050200,
15050400,NOLADE21PSW
15050400,
15050400,
15050400,
15050400,
15050400,
15050400,
15050400,
15050400,
15050500,NOLADE21GRW
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15050500,
15051732,NOLADE21MST
15051732,
15051732,
15051732,
15051732,
15051732,
15051732,
15061618,GENODEF1WRN
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061618,
15061638,GENODEF1ANK
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061638,
15061698,GENODEF1MAL
15061698,
15061698,
15061698,
15061698,
15061698,
15061698,
15080000,DRESDEFF150
15080000,
15080000,
15080000,
15080000,
15091674,GENODEF1DM1
15091674,
15091704,GENODEF1PZ1
15091704,
15091704,
15091704,
15091704,
15091704,
16000000,MARKDEF1160
16010111,ESSEDE5F160
16010111,ESSEDE5F161
16010300,ILBXDE8XXXX
16020086,HYVEDEMM470
16040000,COBADEFF160
16040000,COBADEFF161
